fecha,abrir,max,min,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,volumen
"Mar 20, 2025",233.35,238.00,230.05,236.26,236.26,"99,028,300"
"Mar 19, 2025",231.61,241.41,229.20,235.86,235.86,"111,993,800"
"Mar 18, 2025",228.16,230.10,222.28,225.31,225.31,"111,477,600"
"Mar 17, 2025",245.06,245.40,232.80,238.01,238.01,"111,900,600"
"Mar 14, 2025",247.31,251.58,240.73,249.98,249.98,"100,242,300"
"Mar 13, 2025",248.13,248.29,232.60,240.68,240.68,"114,813,500"
"Mar 12, 2025",247.22,251.84,241.10,248.09,248.09,"142,215,700"
"Mar 11, 2025",225.31,237.06,217.02,230.58,230.58,"174,896,400"
"Mar 10, 2025",252.54,253.37,220.00,222.15,222.15,"189,076,900"
"Mar 7, 2025",259.32,266.25,250.73,262.67,262.67,"102,369,600"
"Mar 6, 2025",272.06,272.65,260.02,263.45,263.45,"98,451,600"
"Mar 5, 2025",272.92,279.55,267.71,279.10,279.10,"94,042,900"
"Mar 4, 2025",270.93,284.35,261.84,272.04,272.04,"126,706,600"
"Mar 3, 2025",300.34,303.94,277.30,284.65,284.65,"115,551,400"
"Feb 28, 2025",279.50,293.88,273.60,292.98,292.98,"115,697,000"
"Feb 27, 2025",291.16,297.23,280.88,281.95,281.95,"101,748,200"
"Feb 26, 2025",303.71,309.00,288.04,290.80,290.80,"100,118,300"
"Feb 25, 2025",327.02,328.89,297.25,302.80,302.80,"134,228,800"
"Feb 24, 2025",338.14,342.40,324.70,330.53,330.53,"76,052,300"
"Feb 21, 2025",353.44,354.98,334.42,337.80,337.80,"74,058,600"
"Feb 20, 2025",361.51,362.30,348.00,354.40,354.40,"45,965,400"
"Feb 19, 2025",354.00,367.34,353.67,360.56,360.56,"67,094,400"
"Feb 18, 2025",355.01,359.10,350.02,354.11,354.11,"51,631,700"
"Feb 14, 2025",360.62,362.00,347.50,355.84,355.84,"68,277,300"
"Feb 13, 2025",345.00,358.69,342.85,355.94,355.94,"89,441,500"
"Feb 12, 2025",329.94,346.40,329.12,336.51,336.51,"105,382,700"
"Feb 11, 2025",345.80,349.37,325.10,328.50,328.50,"118,543,400"
"Feb 10, 2025",356.21,362.70,350.51,350.73,350.73,"77,514,900"
"Feb 7, 2025",370.19,380.55,360.34,361.62,361.62,"70,298,300"
"Feb 6, 2025",373.03,375.40,363.18,374.32,374.32,"77,918,200"
"Feb 5, 2025",387.51,388.39,375.53,378.17,378.17,"57,223,300"
"Feb 4, 2025",382.63,394.00,381.40,392.21,392.21,"57,072,200"
"Feb 3, 2025",386.68,389.17,374.36,383.68,383.68,"93,732,100"
"Jan 31, 2025",401.53,419.99,401.34,404.60,404.60,"83,568,200"
"Jan 30, 2025",410.78,412.50,384.41,400.28,400.28,"98,092,900"
"Jan 29, 2025",395.21,398.59,384.48,389.10,389.10,"68,033,600"
"Jan 28, 2025",396.91,400.59,386.50,398.09,398.09,"48,910,700"
"Jan 27, 2025",394.80,406.69,389.00,397.15,397.15,"58,125,500"
"Jan 24, 2025",414.45,418.88,405.78,406.58,406.58,"56,427,100"
"Jan 23, 2025",416.06,420.73,408.95,412.38,412.38,"50,690,600"
"Jan 22, 2025",416.81,428.00,414.59,415.11,415.11,"60,963,300"
"Jan 21, 2025",432.64,433.20,406.31,424.07,424.07,"87,320,900"
"Jan 17, 2025",421.50,439.74,419.75,426.50,426.50,"94,991,400"
"Jan 16, 2025",423.49,424.00,409.13,413.82,413.82,"68,335,200"
"Jan 15, 2025",409.90,429.80,405.66,428.22,428.22,"81,375,500"
"Jan 14, 2025",414.34,422.64,394.54,396.36,396.36,"84,565,000"
"Jan 13, 2025",383.21,403.79,380.07,403.31,403.31,"67,580,500"
"Jan 10, 2025",391.40,399.28,377.29,394.74,394.74,"62,287,300"
"Jan 8, 2025",392.95,402.50,387.40,394.94,394.94,"73,038,800"
"Jan 7, 2025",405.83,414.33,390.00,394.36,394.36,"75,699,500"
"Jan 6, 2025",423.20,426.43,401.70,411.05,411.05,"85,516,500"
"Jan 3, 2025",381.48,411.88,379.45,410.44,410.44,"95,423,300"
"Jan 2, 2025",390.10,392.73,373.04,379.28,379.28,"109,710,700"
"Dec 31, 2024",423.79,427.93,402.54,403.84,403.84,"76,825,100"
"Dec 30, 2024",419.40,427.00,415.75,417.41,417.41,"64,941,000"
"Dec 27, 2024",449.52,450.00,426.50,431.66,431.66,"82,666,800"
"Dec 26, 2024",465.16,465.33,451.02,454.13,454.13,"76,366,400"
"Dec 24, 2024",435.90,462.78,435.14,462.28,462.28,"59,551,800"
"Dec 23, 2024",431.00,434.51,415.41,430.60,430.60,"72,698,100"
"Dec 20, 2024",425.51,447.08,417.64,421.06,421.06,"132,216,200"
"Dec 19, 2024",451.88,456.36,420.02,436.17,436.17,"118,566,100"
"Dec 18, 2024",466.50,488.54,427.01,440.13,440.13,"149,340,800"
"Dec 17, 2024",475.90,483.99,457.51,479.86,479.86,"131,223,000"
"Dec 16, 2024",441.09,463.19,436.15,463.02,463.02,"114,083,800"
"Dec 13, 2024",420.00,436.30,415.71,436.23,436.23,"89,000,200"
"Dec 12, 2024",424.84,429.30,415.00,418.10,418.10,"87,752,200"
"Dec 11, 2024",409.70,424.88,402.38,424.77,424.77,"104,287,600"
"Dec 10, 2024",392.68,409.73,390.85,400.99,400.99,"97,563,600"
"Dec 9, 2024",397.61,404.80,378.01,389.79,389.79,"96,359,200"
"Dec 6, 2024",377.42,389.49,370.80,389.22,389.22,"81,455,800"
"Dec 5, 2024",359.87,375.43,359.50,369.49,369.49,"81,403,600"
"Dec 4, 2024",353.00,358.10,348.60,357.93,357.93,"50,810,900"
"Dec 3, 2024",351.80,355.69,348.20,351.42,351.42,"58,267,200"
"Dec 2, 2024",352.38,360.00,351.15,357.09,357.09,"77,986,500"
"Nov 29, 2024",336.08,345.45,334.65,345.16,345.16,"37,167,600"
"Nov 27, 2024",341.80,342.55,326.59,332.89,332.89,"57,896,400"
"Nov 26, 2024",341.00,346.96,335.66,338.23,338.23,"62,295,900"
"Nov 25, 2024",360.14,361.93,338.20,338.59,338.59,"95,890,900"
"Nov 22, 2024",341.09,361.53,337.70,352.56,352.56,"89,140,700"
"Nov 21, 2024",343.81,347.99,335.28,339.64,339.64,"58,011,700"
"Nov 20, 2024",345.00,346.60,334.30,342.03,342.03,"66,340,700"
"Nov 19, 2024",335.76,347.38,332.75,346.00,346.00,"88,852,500"
"Nov 18, 2024",340.73,348.55,330.01,338.74,338.74,"126,547,500"
"Nov 15, 2024",310.57,324.68,309.22,320.72,320.72,"114,440,300"
"Nov 14, 2024",327.69,329.98,310.37,311.18,311.18,"120,726,100"
"Nov 13, 2024",335.85,344.60,322.50,330.24,330.24,"125,405,600"
"Nov 12, 2024",342.74,345.84,323.31,328.49,328.49,"155,726,000"
"Nov 11, 2024",346.30,358.64,336.00,350.00,350.00,"210,521,600"
"Nov 8, 2024",299.14,328.71,297.66,321.22,321.22,"204,782,800"
"Nov 7, 2024",288.89,299.75,285.52,296.91,296.91,"117,309,200"
"Nov 6, 2024",284.67,289.59,275.62,288.53,288.53,"165,228,700"
"Nov 5, 2024",247.34,255.28,246.21,251.44,251.44,"69,282,500"
"Nov 4, 2024",244.56,248.90,238.88,242.84,242.84,"68,802,400"
"Nov 1, 2024",252.04,254.00,246.63,248.98,248.98,"57,544,800"
"Oct 31, 2024",257.99,259.75,249.25,249.85,249.85,"66,575,300"
"Oct 30, 2024",258.04,263.35,255.82,257.55,257.55,"53,993,600"
"Oct 29, 2024",264.51,264.98,255.51,259.52,259.52,"80,521,800"
"Oct 28, 2024",270.00,273.54,262.24,262.51,262.51,"107,653,600"
"Oct 25, 2024",256.01,269.49,255.32,269.19,269.19,"161,611,900"
"Oct 24, 2024",244.68,262.12,242.65,260.48,260.48,"204,491,900"
"Oct 23, 2024",217.13,218.72,212.11,213.65,213.65,"80,938,900"
"Oct 22, 2024",217.31,218.22,215.26,217.97,217.97,"43,268,700"
"Oct 21, 2024",218.90,220.48,215.73,218.85,218.85,"47,329,000"
"Oct 18, 2024",220.71,222.28,219.23,220.70,220.70,"49,611,900"
"Oct 17, 2024",221.59,222.08,217.90,220.89,220.89,"50,791,800"
"Oct 16, 2024",221.40,222.82,218.93,221.33,221.33,"49,632,800"
"Oct 15, 2024",220.01,224.26,217.12,219.57,219.57,"62,988,800"
"Oct 14, 2024",220.13,221.91,213.74,219.16,219.16,"86,291,900"
"Oct 11, 2024",220.13,223.34,214.38,217.80,217.80,"142,628,900"
"Oct 10, 2024",241.81,242.79,232.34,238.77,238.77,"83,087,100"
"Oct 9, 2024",243.82,247.43,239.51,241.05,241.05,"66,289,500"
"Oct 8, 2024",243.56,246.21,240.56,244.50,244.50,"56,303,200"
"Oct 7, 2024",249.00,249.83,240.70,240.83,240.83,"68,113,300"
"Oct 4, 2024",246.69,250.96,244.58,250.08,250.08,"86,573,200"
"Oct 3, 2024",244.48,249.79,237.81,240.66,240.66,"80,729,200"
"Oct 2, 2024",247.55,251.16,241.50,249.02,249.02,"93,983,900"
"Oct 1, 2024",262.67,263.98,248.53,258.02,258.02,"87,397,600"
"Sep 30, 2024",259.04,264.86,255.77,261.63,261.63,"80,705,700"
"Sep 27, 2024",257.38,260.70,254.12,260.46,260.46,"70,988,100"
"Sep 26, 2024",260.60,261.75,251.53,254.22,254.22,"67,142,200"
"Sep 25, 2024",252.54,257.05,252.28,257.02,257.02,"65,034,300"
"Sep 24, 2024",254.08,257.19,249.05,254.27,254.27,"88,491,000"
"Sep 23, 2024",242.61,250.00,241.92,250.00,250.00,"86,927,200"
"Sep 20, 2024",241.52,243.99,235.92,238.25,238.25,"99,879,100"
"Sep 19, 2024",234.00,244.24,232.13,243.92,243.92,"102,694,600"
"Sep 18, 2024",230.09,235.68,226.88,227.20,227.20,"78,010,200"
"Sep 17, 2024",229.45,234.57,226.55,227.87,227.87,"66,761,600"
"Sep 16, 2024",229.30,229.96,223.53,226.78,226.78,"54,323,000"
"Sep 13, 2024",228.00,232.67,226.32,230.29,230.29,"59,515,100"
"Sep 12, 2024",224.66,231.45,223.83,229.81,229.81,"72,020,000"
"Sep 11, 2024",224.55,228.47,216.80,228.13,228.13,"83,548,600"
"Sep 10, 2024",220.07,226.40,218.64,226.17,226.17,"78,891,100"
"Sep 9, 2024",216.20,219.87,213.67,216.27,216.27,"67,443,500"
"Sep 6, 2024",232.60,233.60,210.51,210.73,210.73,"112,177,000"
"Sep 5, 2024",223.49,235.00,222.25,230.17,230.17,"119,355,000"
"Sep 4, 2024",210.59,222.22,210.57,219.41,219.41,"80,651,800"
"Sep 3, 2024",215.26,219.90,209.64,210.60,210.60,"76,714,200"
"Aug 30, 2024",208.63,214.57,207.03,214.11,214.11,"63,370,600"
"Aug 29, 2024",209.80,214.89,205.97,206.28,206.28,"62,308,800"
"Aug 28, 2024",209.72,211.84,202.59,205.75,205.75,"64,116,400"
"Aug 27, 2024",213.25,215.66,206.94,209.21,209.21,"62,821,400"
"Aug 26, 2024",218.75,219.09,211.01,213.21,213.21,"59,301,200"
"Aug 23, 2024",214.46,221.48,214.21,220.32,220.32,"81,525,200"
"Aug 22, 2024",223.82,224.80,210.32,210.66,210.66,"79,514,500"
"Aug 21, 2024",222.67,224.66,218.86,223.27,223.27,"70,146,000"
"Aug 20, 2024",224.88,228.22,219.56,221.10,221.10,"74,001,200"
"Aug 19, 2024",217.07,222.98,214.09,222.72,222.72,"76,435,200"
"Aug 16, 2024",211.15,219.80,210.80,216.12,216.12,"88,765,100"
"Aug 15, 2024",205.02,215.88,204.82,214.14,214.14,"89,848,500"
"Aug 14, 2024",207.39,208.44,198.75,201.38,201.38,"70,250,000"
"Aug 13, 2024",198.47,208.49,197.06,207.83,207.83,"76,247,400"
"Aug 12, 2024",199.02,199.26,194.67,197.49,197.49,"64,044,900"
"Aug 9, 2024",197.05,200.88,195.11,200.00,200.00,"58,648,300"
"Aug 8, 2024",195.70,200.70,192.04,198.84,198.84,"65,033,900"
"Aug 7, 2024",200.77,203.49,191.48,191.76,191.76,"71,159,800"
"Aug 6, 2024",200.75,202.90,192.67,200.64,200.64,"73,783,900"
"Aug 5, 2024",185.22,203.88,182.00,198.88,198.88,"100,308,800"
"Aug 2, 2024",214.88,216.13,205.78,207.67,207.67,"82,880,100"
"Aug 1, 2024",227.69,231.87,214.33,216.86,216.86,"83,861,900"
"Jul 31, 2024",227.90,234.68,226.79,232.07,232.07,"67,497,000"
"Jul 30, 2024",232.25,232.41,220.00,222.62,222.62,"100,560,300"
"Jul 29, 2024",224.90,234.27,224.70,232.10,232.10,"129,201,800"
"Jul 26, 2024",221.19,222.28,215.33,219.80,219.80,"94,604,100"
"Jul 25, 2024",216.80,226.00,216.23,220.25,220.25,"100,636,500"
"Jul 24, 2024",225.42,225.99,214.71,215.99,215.99,"167,942,900"
"Jul 23, 2024",253.60,255.76,245.63,246.38,246.38,"111,928,200"
"Jul 22, 2024",244.21,253.21,243.75,251.51,251.51,"101,225,400"
"Jul 19, 2024",247.79,249.44,236.83,239.20,239.20,"87,403,900"
"Jul 18, 2024",251.09,257.14,247.20,249.23,249.23,"110,869,000"
"Jul 17, 2024",252.73,258.47,246.18,248.50,248.50,"115,584,800"
"Jul 16, 2024",255.31,258.62,245.80,256.56,256.56,"126,332,500"
"Jul 15, 2024",255.97,265.60,251.73,252.64,252.64,"146,912,900"
"Jul 12, 2024",235.80,251.84,233.09,248.23,248.23,"155,955,800"
"Jul 11, 2024",263.30,271.00,239.65,241.03,241.03,"221,707,300"
"Jul 10, 2024",262.80,267.59,257.86,263.26,263.26,"128,519,400"
"Jul 9, 2024",251.00,265.61,250.30,262.33,262.33,"160,210,900"
"Jul 8, 2024",247.71,259.44,244.57,252.94,252.94,"157,219,600"
"Jul 5, 2024",249.81,252.37,242.46,251.52,251.52,"154,501,200"
"Jul 3, 2024",234.56,248.35,234.25,246.39,246.39,"166,561,500"
"Jul 2, 2024",218.89,231.30,218.06,231.26,231.26,"205,047,900"
"Jul 1, 2024",201.02,213.23,200.85,209.86,209.86,"135,691,400"
"Jun 28, 2024",199.55,203.20,195.26,197.88,197.88,"95,438,100"
"Jun 27, 2024",195.17,198.72,194.05,197.42,197.42,"72,746,500"
"Jun 26, 2024",186.54,197.76,186.36,196.37,196.37,"95,737,100"
"Jun 25, 2024",184.40,187.97,182.01,187.35,187.35,"63,678,300"
"Jun 24, 2024",184.97,188.80,182.55,182.58,182.58,"61,992,100"
"Jun 21, 2024",182.30,183.95,180.69,183.01,183.01,"63,029,500"
"Jun 20, 2024",184.68,185.21,179.66,181.57,181.57,"55,893,100"
"Jun 18, 2024",186.56,187.20,182.37,184.86,184.86,"68,982,300"
"Jun 17, 2024",177.92,188.81,177.00,187.44,187.44,"109,786,100"
"Jun 14, 2024",185.80,186.00,176.92,178.01,178.01,"82,038,200"
"Jun 13, 2024",188.39,191.08,181.23,182.47,182.47,"118,984,100"
"Jun 12, 2024",171.12,180.55,169.80,177.29,177.29,"90,389,400"
"Jun 11, 2024",173.92,174.75,167.41,170.66,170.66,"64,761,900"
"Jun 10, 2024",176.06,178.57,173.17,173.79,173.79,"50,869,700"
"Jun 7, 2024",176.13,179.35,175.58,177.48,177.48,"56,244,900"
"Jun 6, 2024",174.60,179.73,172.73,177.94,177.94,"69,887,000"
"Jun 5, 2024",175.35,176.15,172.13,175.00,175.00,"57,953,800"
"Jun 4, 2024",174.78,177.76,174.00,174.77,174.77,"60,056,300"
"Jun 3, 2024",178.13,182.64,174.49,176.29,176.29,"68,568,900"
"May 31, 2024",178.50,180.32,173.82,178.08,178.08,"67,314,600"
"May 30, 2024",178.58,182.67,175.38,178.79,178.79,"77,784,800"
"May 29, 2024",174.19,178.15,173.93,176.19,176.19,"54,782,600"
"May 28, 2024",176.40,178.25,173.16,176.75,176.75,"59,736,600"
"May 24, 2024",174.84,180.08,173.73,179.24,179.24,"65,479,700"
"May 23, 2024",181.80,181.90,173.26,173.74,173.74,"71,975,500"
"May 22, 2024",182.85,183.80,178.12,180.11,180.11,"88,313,500"
"May 21, 2024",175.51,186.88,174.71,186.60,186.60,"115,266,500"
"May 20, 2024",177.56,177.75,173.52,174.95,174.95,"61,727,400"
"May 17, 2024",173.55,179.63,172.75,177.46,177.46,"77,445,800"
"May 16, 2024",174.10,175.79,171.43,174.84,174.84,"59,812,200"
"May 15, 2024",179.90,180.00,173.11,173.99,173.99,"79,663,000"
"May 14, 2024",174.50,179.49,174.07,177.55,177.55,"86,407,400"
"May 13, 2024",170.00,175.40,169.00,171.89,171.89,"67,018,900"
"May 10, 2024",173.05,173.06,167.75,168.47,168.47,"72,627,200"
"May 9, 2024",175.01,175.62,171.37,171.97,171.97,"65,950,300"
"May 8, 2024",171.59,176.06,170.15,174.72,174.72,"79,969,500"
"May 7, 2024",182.40,183.26,177.40,177.81,177.81,"75,045,900"
"May 6, 2024",183.80,187.56,182.20,184.76,184.76,"84,390,300"
"May 3, 2024",182.10,184.78,178.42,181.19,181.19,"75,491,500"
"May 2, 2024",182.86,184.60,176.02,180.01,180.01,"89,148,000"
"May 1, 2024",182.00,185.86,179.01,179.99,179.99,"92,829,700"
"Apr 30, 2024",186.98,190.95,182.84,183.28,183.28,"127,031,800"
"Apr 29, 2024",188.42,198.87,184.54,194.05,194.05,"243,869,700"
"Apr 26, 2024",168.85,172.12,166.37,168.29,168.29,"109,815,700"
"Apr 25, 2024",158.96,170.88,158.36,170.18,170.18,"126,427,500"
"Apr 24, 2024",162.84,167.97,157.51,162.13,162.13,"181,178,000"
"Apr 23, 2024",143.33,147.26,141.11,144.68,144.68,"124,545,100"
"Apr 22, 2024",140.56,144.44,138.80,142.05,142.05,"107,097,600"
"Apr 19, 2024",148.97,150.94,146.22,147.05,147.05,"86,005,100"
"Apr 18, 2024",151.25,152.20,148.70,149.93,149.93,"96,098,800"
"Apr 17, 2024",157.64,158.33,153.78,155.45,155.45,"82,439,700"
"Apr 16, 2024",156.74,158.19,153.75,157.11,157.11,"97,000,000"
"Apr 15, 2024",170.24,170.69,161.38,161.48,161.48,"100,245,300"
"Apr 12, 2024",172.34,173.81,170.36,171.05,171.05,"64,506,600"
"Apr 11, 2024",172.55,175.88,168.51,174.60,174.60,"94,516,000"
"Apr 10, 2024",173.04,174.93,170.01,171.76,171.76,"84,532,400"
"Apr 9, 2024",172.91,179.22,171.92,176.88,176.88,"103,232,700"
"Apr 8, 2024",169.34,174.50,167.79,172.98,172.98,"104,423,300"
"Apr 5, 2024",169.08,170.86,160.51,164.90,164.90,"141,250,700"
"Apr 4, 2024",170.07,177.19,168.01,171.11,171.11,"123,162,000"
"Apr 3, 2024",164.02,168.82,163.28,168.38,168.38,"82,950,100"
"Apr 2, 2024",164.75,167.69,163.43,166.63,166.63,"116,650,600"
"Apr 1, 2024",176.17,176.75,170.21,175.22,175.22,"81,562,100"
"Mar 28, 2024",177.45,179.57,175.30,175.79,175.79,"77,654,800"
"Mar 27, 2024",181.41,181.91,176.00,179.83,179.83,"81,804,000"
"Mar 26, 2024",178.58,184.25,177.38,177.67,177.67,"113,186,200"
"Mar 25, 2024",168.76,175.24,168.73,172.63,172.63,"74,228,600"
"Mar 22, 2024",166.69,171.20,166.30,170.83,170.83,"75,454,700"
"Mar 21, 2024",176.39,178.18,171.80,172.82,172.82,"73,178,000"
"Mar 20, 2024",173.00,176.25,170.82,175.66,175.66,"83,846,700"
"Mar 19, 2024",172.36,172.82,167.42,171.32,171.32,"77,271,400"
"Mar 18, 2024",170.02,174.72,165.90,173.80,173.80,"108,214,400"
"Mar 15, 2024",163.16,165.18,160.76,163.57,163.57,"96,971,900"
"Mar 14, 2024",167.77,171.17,160.51,162.50,162.50,"126,325,700"
"Mar 13, 2024",173.05,176.05,169.15,169.48,169.48,"106,524,500"
"Mar 12, 2024",177.77,179.43,172.41,177.54,177.54,"87,391,700"
"Mar 11, 2024",175.45,182.87,174.80,177.77,177.77,"85,391,500"
"Mar 8, 2024",181.50,182.73,174.70,175.34,175.34,"85,315,300"
"Mar 7, 2024",174.35,180.04,173.70,178.65,178.65,"102,129,000"
"Mar 6, 2024",179.99,181.58,173.70,176.54,176.54,"107,920,900"
"Mar 5, 2024",183.05,184.59,177.57,180.74,180.74,"119,660,800"
"Mar 4, 2024",198.73,199.75,186.72,188.14,188.14,"134,334,900"
"Mar 1, 2024",200.52,204.52,198.50,202.64,202.64,"82,099,200"
"Feb 29, 2024",204.18,205.28,198.45,201.88,201.88,"85,907,000"
"Feb 28, 2024",200.42,205.30,198.44,202.04,202.04,"99,806,200"
"Feb 27, 2024",204.04,205.60,198.26,199.73,199.73,"108,645,400"
"Feb 26, 2024",192.29,201.78,192.00,199.40,199.40,"111,747,100"
"Feb 23, 2024",195.31,197.57,191.50,191.97,191.97,"78,841,900"
"Feb 22, 2024",194.00,198.32,191.36,197.41,197.41,"92,739,500"
"Feb 21, 2024",193.36,199.44,191.95,194.77,194.77,"103,844,000"
"Feb 20, 2024",196.13,198.60,189.13,193.76,193.76,"104,545,800"
"Feb 16, 2024",202.06,203.17,197.40,199.95,199.95,"111,173,600"
"Feb 15, 2024",189.16,200.88,188.86,200.45,200.45,"120,831,800"
"Feb 14, 2024",185.30,188.89,183.35,188.71,188.71,"81,203,000"
"Feb 13, 2024",183.99,187.26,182.11,184.02,184.02,"86,759,500"
"Feb 12, 2024",192.11,194.73,187.28,188.13,188.13,"95,498,600"
"Feb 9, 2024",190.18,194.12,189.48,193.57,193.57,"84,476,300"
"Feb 8, 2024",189.00,191.62,185.58,189.56,189.56,"83,034,000"
"Feb 7, 2024",188.18,189.79,182.68,187.58,187.58,"111,535,200"
"Feb 6, 2024",177.21,186.49,177.11,185.10,185.10,"122,676,000"
"Feb 5, 2024",184.26,184.68,175.01,181.06,181.06,"134,294,400"
"Feb 2, 2024",185.04,188.69,182.00,187.91,187.91,"110,505,100"
"Feb 1, 2024",188.50,189.88,184.28,188.86,188.86,"91,843,300"
"Jan 31, 2024",187.00,193.97,185.85,187.29,187.29,"103,221,400"
"Jan 30, 2024",195.33,196.36,190.61,191.59,191.59,"109,982,300"
"Jan 29, 2024",185.63,191.48,183.67,190.93,190.93,"125,013,100"
"Jan 26, 2024",185.50,186.78,182.10,183.25,183.25,"107,343,200"
"Jan 25, 2024",189.70,193.00,180.06,182.63,182.63,"198,076,800"
"Jan 24, 2024",211.88,212.73,206.77,207.83,207.83,"123,369,900"
"Jan 23, 2024",211.30,215.65,207.75,209.14,209.14,"106,605,900"
"Jan 22, 2024",212.26,217.80,206.27,208.80,208.80,"117,952,500"
"Jan 19, 2024",209.99,213.19,207.56,212.19,212.19,"102,095,800"
"Jan 18, 2024",216.88,217.45,208.74,211.88,211.88,"108,595,400"
"Jan 17, 2024",214.86,215.67,212.01,215.55,215.55,"103,164,400"
"Jan 16, 2024",215.10,223.49,212.18,219.91,219.91,"115,355,000"
"Jan 12, 2024",220.08,225.34,217.15,218.89,218.89,"122,889,000"
"Jan 11, 2024",230.57,230.93,225.37,227.22,227.22,"105,873,600"
"Jan 10, 2024",235.10,235.50,231.29,233.94,233.94,"91,628,500"
"Jan 9, 2024",238.11,238.96,232.04,234.96,234.96,"96,705,700"
"Jan 8, 2024",236.14,241.25,235.30,240.45,240.45,"85,166,600"
"Jan 5, 2024",236.86,240.12,234.90,237.49,237.49,"92,379,400"
"Jan 4, 2024",239.25,242.70,237.73,237.93,237.93,"102,629,300"
"Jan 3, 2024",244.98,245.68,236.32,238.45,238.45,"121,082,600"
"Jan 2, 2024",250.08,251.25,244.41,248.42,248.42,"104,654,200"
"Dec 29, 2023",255.10,255.19,247.43,248.48,248.48,"100,615,300"
"Dec 28, 2023",263.66,265.13,252.71,253.18,253.18,"113,619,900"
"Dec 27, 2023",258.35,263.34,257.52,261.44,261.44,"106,494,400"
"Dec 26, 2023",254.49,257.97,252.91,256.61,256.61,"86,892,400"
"Dec 22, 2023",256.76,258.22,251.37,252.54,252.54,"93,249,800"
"Dec 21, 2023",251.90,254.80,248.55,254.50,254.50,"109,594,200"
"Dec 20, 2023",256.41,259.84,247.00,247.14,247.14,"125,097,000"
"Dec 19, 2023",253.48,258.34,253.01,257.22,257.22,"106,737,400"
"Dec 18, 2023",253.78,258.74,251.36,252.08,252.08,"116,416,500"
"Dec 15, 2023",251.21,254.13,248.30,253.50,253.50,"135,720,800"
"Dec 14, 2023",241.22,253.88,240.79,251.05,251.05,"160,829,200"
"Dec 13, 2023",234.19,240.30,228.20,239.29,239.29,"146,286,300"
"Dec 12, 2023",238.55,238.99,233.87,237.01,237.01,"95,328,300"
"Dec 11, 2023",242.74,243.44,237.45,239.74,239.74,"97,913,900"
"Dec 8, 2023",240.27,245.27,239.27,243.84,243.84,"102,980,100"
"Dec 7, 2023",241.55,244.08,236.98,242.64,242.64,"107,142,300"
"Dec 6, 2023",242.92,246.57,239.17,239.37,239.37,"126,436,200"
